Sentence,ORG1,ORG2,ORG3,ORG4,ORG5
货款及运输费用等由东风商用车有限公司与卖方（中标方）直接结算，具体结算办法如下：,东风商用车有限公司,,,,
东风(武汉)工程咨询有限公司受东风商用车有限公司服务支持采购部的委托，对其“DDI50国六缸体试制工装、DDI75国六缸体试制工装”项目实行招标采购。,东风(武汉)工程咨询有限公司,,,,
东风汽车紧固件有限公司“多工位螺母冷成形机”项目招标公告,东风汽车紧固件有限公司,,,,
东风（武汉）工程咨询有限公司受东风汽车紧固件有限公司委托，对其“多工位螺母冷成形机”实行公开招标。,东风(武汉)工程咨询有限公司,,,,
技术联系人：东风汽车紧固件有限公司雷开州0719-8224295,东风汽车紧固件有限公司,,,,
招标人：太原市晋源区晋祠镇人民政府代理机构：山西聚盛建筑工程招标代理有限公司,太原市晋源区晋祠镇人民政府,山西聚盛建筑工程招标代理有限公司,,,
招标人：山西建筑工程【集团】总公司太原市中心医院,太原市中心医院,山西建筑工程【集团】总公司,,,
2.1项目名称：太原市人民医院（晋源区人民医院）迁建项目通风机设备采购。,太原市人民医院,,,,
2.3招标范围：太原市人民医院（晋源区人民医院）迁建项目地库、医技综合楼及医疗综合楼的通风机，具体规格、型号、数量、报价范围、采购范围及所应达到的具体要求，以招标文件的相应规定为准。,太原市人民医院,,,,
招标人：中铁北京工程局集团有限公司,北京工程局集团有限公司,,,,
招标代理：山西明实工程招标代理有限公司,山西明实工程招标代理有限公司,,,,
中航技国际经贸发展有限公司受北京市琉璃河水泥有限公司委托，对房山区建筑垃圾资源化工程干雾抑尘系统采购进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,北京市琉璃河水泥有限公司,,,
1.2招标人名称：北京金隅琉水环保科技有限公司,北京金隅琉水环保科技有限公司,,,,
中航技国际经贸发展有限公司受苏州工业园区航港物流有限公司的委托，就其所需的物业电工项目以竞争性谈判方式组织采购，欢迎符合条件的合格供应商参加。,中航技国际经贸发展有限公司,苏州工业园区航港物流有限公司,,,
（1）名称：苏州工业园区航港物流有限公司,苏州工业园区航港物流有限公司,,,,
（1）名称：中航技国际经贸发展有限公司,国际经贸发展有限公司,,,,
中航技国际经贸发展有限公司受中国出口信用保险公司委托，对SAP财务系统驻场运维服务项目进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,中国出口信用保险公司,,,
1、招标单位：中阳县宁乡镇人民政府,中阳县宁乡镇人民政府,,,,
招标人：太原市城市建设管理中心招标代理机构:山西海通工程招标代理有限公司,太原市城市建设管理中心招标代理机构,山西海通工程招标代理有限公司,,,
中航技国际经贸发展有限公司受武汉天马微电子有限公司委托对下列产品及服务进行国际竞争性招标。现邀请合格投标人参加投标。,中航技国际经贸发展有限公司,武汉天马微电子有限公司,,,
本招标项目银川市实验中学公寓楼改造维修工程已由以批准建设，招标人为银川实验中学，建设资金来自国内项目，项目出资比例为。项目已具备招标条件，现对该项目的施工进行公开招标。,银川市实验中学,,,,
银川市实验中学公寓楼改造维修工程,银川市实验中学,,,,
中航技国际经贸发展有限公司受招标人委托，对综合设计环境(升级)进行招标。现邀请你单位按招标文件规定的内容，参加综合设计环境(升级)投标。,中航技国际经贸发展有限公司,,,,
中航技国际经贸发展有限公司受上海航空电器有限公司委托，对综合信息管理平台进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,上海航空电器有限公司,,,
1.中航技国际经贸发展有限公司（以下简称“招标机构”）受贵阳航发精密铸造有限公司委托，通过公开招标方式邀请合格投标人，就真空熔铸炉冷却水内循环系统采购项目的货物和有关服务提交密封投标文件。,中航技国际经贸发展有限公司,贵阳航发精密铸造有限公司,,,
8.招标机构名称：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
1.中航技国际经贸发展有限公司受招标人委托，邀请合格投标人就振动激励设备的下列货物和有关服务提交密封投标：,中航技国际经贸发展有限公司,,,,
2.有兴趣的合格投标人可在中航技国际经贸发展有限公司得到进一步的信息和查阅招标文件。,中航技国际经贸发展有限公司,,,,
招标机构名称：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
中航技国际经贸发展有限公司受中国航空无线电电子研究所委托，对实验网安全认证系统进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,中国航空无线电电子研究,,,
中航技国际经贸发展有限公司受沈阳飞机工业(集团)有限公司委托，对706#厂房扩建新增喷漆生产线进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,沈阳飞机工业(集团)有限公司,,,
沈阳飞机工业(集团)有限公司,沈阳飞机工业集团有限公司,,,,
本招标项目6万吨/年协同处置飞灰改扩建工程监理已由以批准建设，招标人为北京金隅琉水环保科技有限公司，建设资金来自国内项目，项目出资比例为。项目已具备招标条件，现对该项目的施工进行公开招标。,北京金隅琉水环保科技有限公司,,,,
中航技国际经贸发展有限公司受中国航空工业集团公司成都飞机设计研究所委托对下列产品及服务进行国际竞争性招标。现邀请合格投标人参加投标。,中航技国际经贸发展有限公司,中国航空工业集团公司成都飞机设计研究,,,
~受苏州市纤维检验所的委托，中航技国际经贸发展有限公司对其拟采购的气相色谱质谱联用仪项目在国内组织竞争性谈判采购。欢迎符合谈判采购文件资格条件的各供应商前来参加谈判。,中航技国际经贸发展有限公司,苏州市纤维检验所,,,
（2）苏州市数字证书认证中心有限责任公司网点，详见：苏州市财政局关于市级政府采购项目实行供应商网上报名的通知[苏财购字〔2016〕23号]。,苏州市数字证书认证中心有限责任公司,,,,
九、苏州市政府采购管理部门监督电话：0512-68616650。,九苏州市政府,,,,
中航技国际经贸发展有限公司受西安飞机工业(集团)有限责任公司委托，对虚拟座舱仪表设计软件VAPSXT进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,西安飞机工业(集团)有限责任公司,,,
西安飞机工业(集团)有限责任公司,西安飞机工业(集团)有限责任公司,,,,
招标人：临汾市政府工程建设事务管理局,临汾市政府工程建设事务管理局,,,,
中航技国际经贸发展有限公司受成都市天府新区合江卫生院委托，对成都市天府新区合江卫生院医疗设备采购项目采用竞争性磋商方式进行采购，特邀请合格的供应商参加该项目的竞争性磋商。,中航技国际经贸发展有限公司,成都市天府新区合江卫生院,,,
二、采购名称：成都市天府新区合江卫生院医疗设备采购项目,成都市天府新区合江卫生院,,,,
采购人：成都市天府新区合江卫生院,成都市天府新区合江卫生院,,,,
采购代理机构：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
本招标项目6万吨/年协同处置飞灰改扩建工程施工已由以批准建设，招标人为北京金隅琉水环保科技有限公司，建设资金来自国内项目，项目出资比例为。项目已具备招标条件，现对该项目的施工进行公开招标。,北京金隅琉水环保科技有限公司,,,,
中航技国际经贸发展有限公司受上海天马有机发光显示技术有限公司委托对下列产品及服务进行国际竞争性招标。现邀请合格投标人参加投标。,中航技国际经贸发展有限公司,上海天马有机发光显示技术有限公司,,,
中航技国际经贸发展有限公司受武汉天马微电子有限公司委托，对软贴硬与硬贴硬机进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,武汉天马微电子有限公司,,,
中航技国际经贸发展有限公司受招标人委托，对西部(宁夏)人体组织细胞库采购低温储存设备项目1标段进行招标。现邀请你单位按招标文件规定的内容，参加西部(宁夏)人体组织细胞库采购低温储存设备项目1标段投标。,中航技国际经贸发展有限公司,,,,
中航(宁夏)生物股份有限公司,中航(宁夏)生物股份有限公司,,,,
保证金汇至：中航技国际经贸发展有限公司湖南分公司,中航技国际经贸发展有限公司湖南分公司,,,,
购谈判文件款、采购代理服务费汇至：中航技国际经贸发展有限公司湖南分公司,中航技国际经贸发展有限公司湖南分公司,,,,
本招标项目307#厂房屋面治漏工程项目已由以批准建设，招标人为中航飞机股份有限公司长沙起落架分公司，建设资金来自国内项目，项目出资比例为。项目已具备招标条件，现对该项目的施工进行公开招标。,中航飞机股份有限公司长沙起落架分公司,,,,
中航飞机股份有限公司长沙起落架分公司,中航飞机股份有限公司长沙起落架分公司,,,,
~贵州财经大学鹿冲关（北校区）致诚路道路、听涛路工程设计项目竞争性谈判公告,贵州财经大学,,,,
1、项目名称:贵州财经大学鹿冲关（北校区）致诚路道路、听涛路工程设计项目,贵州财经大学,,,,
15、采购人名称:贵州财经大学,贵州财经大学,,,,
17、采购代理机构全称:中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
~2017年贵阳中医学院实验室建设采购项目（四）—药学院A包实验设备采购竞争性谈判公告,贵阳中医学院实验室,,,,
1、项目名称:2017年贵阳中医学院实验室建设采购项目（四）—药学院A包实验设备采购,贵阳中医学院实验室,,,,
15、采购人名称:贵阳中医学院,贵阳中医学院,,,,
~受苏州工业园区航港物流有限公司的委托，中航技国际经贸发展有限公司对其拟采购的LED彩屏及会议音响设备采购项目在国内组织竞争性谈判采购。欢迎符合谈判采购文件资格条件的各供应商前来参加谈判。,苏州工业园区航港物流有限公司,中航技国际经贸发展有限公司,,,
中航技国际经贸发展有限公司受中国航空无线电电子研究所委托对下列产品及服务进行国际竞争性招标。现邀请合格投标人参加投标。,中航技国际经贸发展有限公司,中国航空无线电电子研究所,,,
平遥县住房保障和城乡建设管理委员会山西恒泽工程项目管理有限公司,山西恒泽工程项目管理有限公司,,,,
内蒙古电力(集团)有限责任公司信息通信分公司2018年度信息通信设备专项运维服务采购项目采购公告,内蒙古电力集团有限责任公司,,,,
1.项目名称：内蒙古电力(集团)有限责任公司信息通信分公司2018年度信息通信设备专项运维服务采购项目,内蒙古电力集团有限责任公司,,,,
1-12标段：内蒙古科电数据服务有限公司,内蒙古科电数据服务有限公司,,,,
13标段：内蒙古伊特科技有限责任公司,内蒙古伊特科技有限责任公司,,,,
14标段：长天科技有限公司,长天科技有限公司,,,,
采购人：内蒙古电力(集团)有限责任公司信息通信分公司,内蒙古电力集团有限责任公司,,,,
交易场所：内蒙古产权交易中心有限责任公司,内蒙古产权交易中心有限责任公司,,,,
采购代理机构名称：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
执行机构：中航技国际经贸发展有限公司内蒙古分公司,中航技国际经贸发展有限公司内蒙古分公司,,,,
~2017年贵阳中医学院实验室建设采购项目（四）—药学院B包实验设备采购竞争性谈判公告,贵阳中医学院实验室,,,,
1、项目名称:2017年贵阳中医学院实验室建设采购项目（四）—药学院B包实验设备采购,贵阳中医学院实验室,,,,
中航技国际经贸发展有限公司受中国航发哈尔滨东安发动机有限公司委托，对铸造设备控制与数据采集系统进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,中国航发哈尔滨东安发动机有限公司,,,
中国航发哈尔滨东安发动机有限公司,中国航发哈尔滨东安发动机有限公司,,,,
中航技国际经贸发展有限公司内蒙古分公司受内蒙古惠民投资有限责任公司委托，采用公开招标的方式，采购察右中旗科布尔镇镶蓝大街、团结路照明改造工程。欢迎符合资格条件的供应商前来报名参加。,中航技国际经贸发展有限公司内蒙古分公司,内蒙古惠民投资有限责任公司,,,
采购代理机构名称：中航技国际经贸发展有限公司内蒙古分公司,中航技国际经贸发展有限公司内蒙古分公司,,,,
中航技国际经贸发展有限公司受南通深南电路有限公司委托对下列产品及服务进行国际竞争性招标。现邀请合格投标人参加投标。,中航技国际经贸发展有限公司,南通深南电路有限公司,,,
1.2设备包名称：南通深南电路有限公司项目-成品立体库,南通深南电路有限公司,,,,
1.3项目概况与招标范围：0730-174011SZ0050/01南通深南电路有限公司项目-成品立体库,南通深南电路有限公司,,,,
国家海洋技术中心漳州基地现场办公用房整修改造工程招标公告,国家海洋技术中心,,,,
一、项目名称：国家海洋技术中心漳州基地现场办公用房整修改造工程（招标编号：0730-176022SZ0043/01）,国家海洋技术中心,,,,
招标代理机构：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
招标代理执行机构：中航技国际经贸发展有限公司厦门分公司,中航技国际经贸发展有限公司厦门分公司,,,,
招标人：灵丘县住房保障和城乡建设管理局招标代理：山西新星项目管理有限责任公司,山西新星项目管理有限责任公司,灵丘县住房保障和城乡建设管理局,,,
中航技国际经贸发展有限公司受金城南京机电液压工程研究中心委托，对多工位综合清洗机进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,金城南京机电液压工程研究中心,,,
中航技国际经贸发展有限公司重庆分公司受招标人重庆市轨道交通（集团）有限公司委托，现对重庆轨道交通6号线及国博支线车站内部保洁服务外委项目进行公开招标，兹邀请合格的投标人参与投标。,中航技国际经贸发展有限公司重庆分公司,重庆市轨道交通（集团）有限公司,,,
招标人：重庆市轨道交通（集团）有限公司,重庆市轨道交通（集团）有限公司,,,,
招标代理机构：中航技国际经贸发展有限公司重庆分公司,中航技国际经贸发展有限公司重庆分公司,,,,
中航技国际经贸发展有限公司受金城南京机电液压工程研究中心委托对下列产品及服务进行国际竞争性招标。现邀请合格投标人参加投标。,中航技国际经贸发展有限公司重庆分公司,金城南京机电液压工程研究中心,,,
中航技国际经贸发展有限公司受成都飞机工业(集团)有限责任公司委托，对微机进行国内公开招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司重庆分公司,成都飞机工业(集团)有限责任公司,,,
本招标项目八所边检站新建车库项目已由武警海南边防总队批准建设，建设资金来自上级投资，出资比例为100%，招标人为中华人民共和国八所边防检查站。项目已具备招标条件，现对该项目施工进行公开招标。,中华人民共和国八所边防检查站,,,,
招标人:中华人民共和国八所边防检查站招标代理机构：中航技国际经贸发展有限公司,中华人民共和国八所边防检查站,中航技国际经贸发展有限公司,,,
湖北航嘉麦格纳座椅系统有限公司热处理车间除尘除油系统招标公告,湖北航嘉麦格纳座椅系统有限公司,,,,
中航技国际经贸发展有限公司（以下简称“招标代理机构”）受招标人委托，邀请合格投标人就湖北航嘉麦格纳座椅系统有限公司热处理车间除尘除油系统和有关服务提交密封投标：,中航技国际经贸发展有限公司,,,,
招标人：航嘉麦格纳座椅系统有限公司,航嘉麦格纳座椅系统有限公司,,,,
本招标项目轨道交通六号线二期工程蔡家站生活污水处理项目已由以批准建设，招标人为重庆市轨道交通(集团)有限公司，建设资金来自国内项目，项目出资比例为。项目已具备招标条件，现对该项目的施工进行公开招标。,轨道交通集团有限公司,,,,
重庆市轨道交通(集团)有限公司,重庆市轨道交通(集团)有限公司,,,,
建设单位：青岛西海岸农高发展集团有限公司,青岛西海岸农高发展集团有限公司,,,,
3.注册地非青岛西海岸新区区域内的投标企业中标后七日内须到青岛市黄岛区城市建设局办理登记备案手续；,青岛市黄岛区城市建设局,,,,
中航技国际经贸发展有限公司受招标人委托，现通过公开招标方式邀请有相应资质的潜在投标人，就建筑系虚实结合教学实训一体化实训基地建设提交密封投标书。,中航技国际经贸发展有限公司,,,,
8、招标机构名称：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
单位名称：中航技国际经贸发展有限公司湖南分公司,中航技国际经贸发展有限公司湖南分公司,,,,
招标代理：中航技国际经贸发展有限公司湖南分公司,中航技国际经贸发展有限公司湖南分公司,,,,
中航国际船舶发展（中国）有限公司斐济项目船舶调试及技术培训项目招标公告,中航国际船舶发展（中国）有限公司,,,,
项目名称：中航国际船舶发展（中国）有限公司斐济船舶调试及技术培训项目,中航国际船舶发展（中国）有限公司,,,,
招标人：中航国际船舶发展（中国）有限公司,中航国际船舶发展（中国）有限公司,,,,
中国特种飞行器研发中心监理,中国特种飞行器研发中心,,,,
中航技国际经贸发展有限公司受招标人珠海中航通用房地产开发有限公司委托对下列工程及服务进行国内公开招标，特发布招标公告，邀请合格的投标人参加投标。,中航技国际经贸发展有限公司,珠海中航通用房地产开发有限公司,,,
招标代理公司名称：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
设备包名称：成都体育学院双一流中央项目体育设备及医疗教学科研设备采购项目05,成都体育学院,,,,
采购人名称：成都体育学院,成都体育学院,,,,
采购代理机构全称：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
本项目为成都体育学院双一流中央项目体育设备及医疗教学科研设备采购项目#数量#。具体要求详见项目需求书。,成都体育学院,,,,
招标人：中国航空规划设计研究总院有限公司,中国航空规划设计研究总院有限公司,,,,
中建三局集团有限公司-广州富利建筑安装工程有限公司,中建三局集团有限公司,广州富利建筑安装工程有限公司,,,
中航技国际经贸发展有限公司受江西洪都航空工业股份有限公司委托对下列产品及服务进行国际竞争性招标。现邀请合格投标人参加投标。,中航技国际经贸发展有限公司,江西洪都航空工业股份有限公司,,,
中航技国际经贸发展有限公司受重庆市轨道交通(集团)有限公司委托，对重庆轨道交通5号线一期北段车站内部保洁服务外委项目进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,重庆市轨道交通(集团)有限公司,,,
中航技国际经贸发展有限公司受成都峨眉山饭店委托，拟对成都峨眉山饭店床上用品采购项目进行国内公开招标，兹邀请符合本次招标要求的供应商参加投标。,中航技国际经贸发展有限公司,成都峨眉山饭店,,,
4.资金来源：内蒙古电力（集团）有限责任公司自有资金（已落实）,内蒙古电力（集团）有限责任公司,,,,
招标人名称：内蒙古电力（集团）有限责任公司包头供电局,内蒙古电力（集团）有限责任公司,,,,
监督单位：包头供电局企管处,包头供电局企管处,,,,
监督单位:包头供电局纪委,包头供电局纪委,,,,
1．请你单位于2017-09-2509:00至2017-09-2509:01(法定公休日、法定节假日除外，北京时间，下同)，在重庆市渝中区大坪嘉华鑫城商务中心A座11-3持本投标邀请书购买招标文件。,重庆市渝中区大坪嘉华鑫城商务中心,,,,
中航技国际经贸发展有限公司受江西洪都航空工业股份有限公司委托，对航空城北区四个分厂(七个厂房)节能改造项目进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,江西洪都航空工业股份有限公司,,,
中航技国际经贸发展有限公司受中国飞行试验研究院委托，对某雷达它机试飞测试系统进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,中国飞行试验研究院,,,
招标人：海南省专用通信局招标代理机构：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,海南省专用通信局,,,
2018信息通信技改项目-4固阳分局变电站内网下传配套交换机,固阳分局,,,,
2018信息通信技改项目-21固阳分局银号变-固阳变、忽鸡沟变-万胜变光缆通道工程,固阳分局,,,,
2018信息通信技改项目-22固阳分局会议楼二楼会议室会议设备改造,固阳分局,,,,
~中航技国际经贸发展有限公司受苏州市质量技术监督综合检验检测中心的委托，就其拟采购的班车租赁服务项目进行国内公开招标。欢迎符合招标公告投标资格条件的供应商前来报名参加投标。,中航技国际经贸发展有限公司,,,,
采购单位：苏州市质量技术监督综合检验检测中心,苏州市质量技术监督综合检验检测中心,,,,
招标人：长子县鑫安基础设施开发有限公司,长子县鑫安基础设施开发有限公司,,,,
中航技国际经贸发展有限公司受中航飞机股份有限公司委托，对西飞设计楼网络布线进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,中航飞机股份有限公司,,,
中航技国际经贸发展有限公司受成都峨眉山饭店委托，拟对成都峨眉山饭店低耗品采购项目进行国内公开招标，兹邀请符合本次招标要求的供应商参加投标。,中航技国际经贸发展有限公司,成都峨眉山饭店,,,
中航技国际经贸发展有限公司受江西洪都航空工业股份有限公司委托，对数控外圆磨床进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,江西洪都航空工业股份有限公司,,,
招标代理：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
中航技国际经贸发展有限公司受成都飞机工业(集团)有限责任公司委托，对数据挖掘及展示进行国内公开招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,成都飞机工业(集团)有限责任公司,,,
（3）投标人和制造商需无不良记录，在成都飞机工业（集团）有限责任公司无货物延迟交付记录、无不良服务记录。,成都飞机工业集团有限责任公司,,,,
中航技国际经贸发展有限公司受中国船舶重工集团公司第七一三研究所的委托，就中国船舶重工集团公司第七一三研究所大型立式加工中心采购项目进行国内公开招标，现欢迎符合相关条件的投标人参加投标。,中航技国际经贸发展有限公司,中国船舶重工集团公司第七一三研究所,,,
1.1项目名称：中国船舶重工集团公司第七一三研究所大型立式加工中心采购项目；,中国船舶重工集团公司,,,,
招标人：中国船舶重工集团公司第七一三研究所,中国船舶重工集团公司,,,,
中航技国际经贸发展有限公司受中国船舶重工集团公司第七一三研究所的委托，就中国船舶重工集团公司第七一三研究所数控万能外圆磨床采购项目进行国内公开招标，现欢迎符合相关条件的投标人参加投标。,中航技国际经贸发展有限公司,中国船舶重工集团公司,,,
1.1项目名称：中国船舶重工集团公司第七一三研究所数控万能外圆磨床采购项目；,中国船舶重工集团公司,,,,
中航技国际经贸发展有限公司受中国飞行试验研究院委托对下列产品及服务进行国际竞争性招标。现邀请合格投标人参加投标。,中航技国际经贸发展有限公司,中国飞行试验研究院,,,
招标人：西山煤电太原保障性住房建设有限公司,太原保障性住房建设有限公司,,,,
中航技国际经贸发展有限公司受中国船舶重工集团公司第七一三研究所的委托，就中国船舶重工集团公司第七一三研究所数控车床采购项目进行国内公开招标，现欢迎符合相关条件的投标人参加投标。,中航技国际经贸发展有限公司,中国船舶重工集团公司,,,
1.1项目名称：中国船舶重工集团公司第七一三研究所数控车床采购项目；,中国船舶重工集团公司,,,,
中航技国际经贸发展有限公司受苏州工业园区城市管理综合执法大队的委托，就其采购综合物业管理服务项目进行国内公开招标。欢迎有资格的投标单位前来参加投标。,中航技国际经贸发展有限公司,苏州工业园区城市管理综合执法大队,,,
中航技国际经贸发展有限公司受业主委托对下列工程进行国内公开招标，特发布招标公告，邀请合格的投标人参加投标。,中航技国际经贸发展有限公司,,,,
名称：中航技国际经贸发展有限公司深圳分公司,中航技国际经贸发展有限公司深圳分公司,,,,
中航技国际经贸发展有限公司受中航光电科技股份有限公司委托，对数字串行分析仪进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,中航光电科技股份有限公司,,,
中航技国际经贸发展有限公司受四川凌峰航空液压机械有限公司委托，对真空退火炉进行国内公开招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,四川凌峰航空液压机械有限公司,,,
中航技国际经贸发展有限公司受昆山市公安消防大队的委托，对其消防车辆保险服务单位遴选项目的采购进行竞争性谈判招标，欢迎合格的供应商前来参加。,中航技国际经贸发展有限公司,昆山市公安消防大队,,,
上网之时起至2017年12月14日止，每天9：30-16：00（除公休、节假日外）到中航技国际经贸发展有限公司报名材料。,中航技国际经贸发展有限公司,,,,
代理招标单位名称：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
本招标项目太原太航科技有限公司职工家属区“三供一业”居民供电分离移交项目施工已由以批准建设，招标人为太原太航科技有限公司，建设资金来自国内项目。项目已具备招标条件，现对该项目的施工进行公开招标。,太原太航科技有限公司,,,,
五台山风景名胜区黄土咀村道路改造提升工程已由台景旅发【2017】67号文件批准建设，招标人为五台山文化旅游集团有限公司，资金来源为企业自筹。项目已经报建且具备招标条件，现对该项目的施工进行公开招标。,五台山文化旅游集团有限公司,,,,
招标人：山西五台山文化旅游集团有限公司,山西五台山文化旅游集团有限公司,,,,
1、采购人：贵阳铁路运输检察院,贵阳铁路运输检察院,,,,
机构名称：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
受芜湖市镜湖区环境卫生管理所委托，中航技国际经贸发展有限公司就芜湖市镜湖区环卫作业管理项目进行国内公开招标。欢迎有资格的供应商前来参加投标。,芜湖市镜湖区环境卫生管理所,中航技国际经贸发展有限公司,,,
1）开标日前两年内未被合肥市公共资源交易监督管理局记不良行为记录或记不良行为记录累计计分未满10分的；,合肥市公共资源交易监督管理局,,,,
2）最近一次被合肥市公共资源交易监督管理局记不良行为记录累计记分达10分（含10分）到15分且公布日距开标日超过6个月；,合肥市公共资源交易监督管理局,,,,
3）最近一次被合肥市公共资源交易监督管理局记不良行为记录累计记分达15分（含15分）到20分且公布日距开标日超过12个月；,合肥市公共资源交易监督管理局,,,,
4）最近一次被合肥市公共资源交易监督管理局记不良行为记录累计记分达20分（含20分）及以上且公布日距开标日超过24个月；,合肥市公共资源交易监督管理局,,,,
收款人名称：中航技国际经贸发展有限公司江苏分公司,中航技国际经贸发展有限公司江苏分公司,,,,
中航技国际经贸发展有限公司受天马微电子股份有限公司委托，对FPC压接装置进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,天马微电子股份有限公司,,,
"本招标项目哈尔滨国际汽车物流中心11号楼消防工程,招标人为哈尔滨瑞孚汽车销售服务有限公司，建设资金来自企业自筹，项目出资比例为100%。项目已具备招标条件，现对该项目的施工进行公开招标。",哈尔滨瑞孚汽车销售服务有限公司,,,,
2.1项目名称：哈尔滨国际汽车物流中心11号楼消防工程,哈尔滨国际汽车物流中心,,,,
招标人：哈尔滨瑞孚汽车销售服务有限公司,哈尔滨瑞孚汽车销售服务有限公司,,,,
招标人：北京瑞赛科技有限公司,北京瑞赛科技有限公司,,,,
苏州工业园区航港物流有限公司关于消防维保服务项目采购公告,苏州工业园区航港物流有限公司,,,,
中航技国际经贸发展有限公司受苏州工业园区航港物流有限公司的委托，就其所需要采购的消防维保服务项目在国内组织竞争性谈判采购。欢迎符合谈判采购文件资格条件的供应商前来参加谈判。,中航技国际经贸发展有限公司,苏州工业园区航港物流有限公司,,,
八、采购单位名称：苏州工业园区航港物流有限公司,苏州工业园区航港物流有限公司,,,,
1.中航技国际经贸发展有限公司（以下简称“招标机构”）受中国航发贵州黎阳航空动力有限公司委托，通过公开招标方式邀请合格投标人，就自适应加工软件采购项目的软件和有关服务提交密封投标文件。,中航技国际经贸发展有限公司,中国航发贵州黎阳航空动力有限公司,,,
招标人（项目业主）拉萨市堆龙德庆区工业园区管委会,拉萨市堆龙德庆区工业园区管委会,,,,
招标人：运城市城市建设工程办公室招标代理机构：运城市正平建设工程招标代理有限公司,正平建设工程招标代理有限公司,运城市城市建设工程办公室,,,
中航技国际经贸发展有限公司受中交住总联合置业(北京)有限公司委托，对北京市门头沟区永定镇冯村、何各庄地区3751-C地块棚户区改造及环境整治项目日常保安服务进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,中交住总联合置业(北京)有限公司,,,
中交住总联合置业(北京)有限公司,中交住总联合置业(北京)有限公司,,,,
中航技国际经贸发展有限公司受苏州工业园区城市管理综合执法大队的委托，就其所需的办公设备维保服务项目项目以竞争性谈判方式组织政府采购，欢迎符合谈判采购文件资格条件的各供应商前来参加谈判。,中航技国际经贸发展有限公司,苏州工业园区城市管理综合执法大队,,,
五、采购代理机构名称：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
中航技国际经贸发展有限公司受深南电路股份有限公司委托对下列产品及服务进行国际竞争性招标。现邀请合格投标人参加投标。,中航技国际经贸发展有限公司,,,,
1.2设备包名称：深南电路股份有限公司项目-全自动激光打标机,深南电路股份有限公司,,,,
本招标项目宁夏第五人民医院集团医院信息化采购——监理项目已由以批准建设，招标人为宁夏第五人民医院，建设资金来自国内项目，项目出资比例为。项目已具备招标条件，现对该项目的施工进行公开招标。,宁夏第五人民医院,,,,
招标人：贵州省铜仁监狱迁建工程领导招标代理机构：中航技国际经贸发展有限公司,中航技国际经贸发展有限公司,,,,
中航技国际经贸发展有限公司受金城南京机电液压工程研究中心委托，对燃油介质高温试验台进行招标。现欢迎合格投标人参加投标。,中航技国际经贸发展有限公司,金城南京机电液压工程研究中心,,,
5.1凡通过上述报名者，持法定代表人委托书到忻州市公共交易中心（长征西街45号）购买招标文件，招标文件发售时间为2018年2月22日至2018年2月27日,忻州市公共交易中心,,,,
招标人：忻府区长征街办事处樊野村村民委员会,忻府区长征街办事处樊野村村民委员会,,,,
湖南省建筑科学研究院信息化项目竞争性磋商邀请公告,湖南省建筑科学研究院,,,,
